alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, -2122.399894, 43234.458256
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 31285.746587, 9394391.118823
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 64693.893067, 40170030.694439
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 98102.039548, 92370153.185099
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 131510.186028, 165994758.590805
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 164918.332509, 261043846.911559
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 198326.478990, 377517418.147381
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 231734.625470, 515415472.298239
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 265142.771951, 674738009.364170
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 298550.918431, 855485029.345109
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 331959.064912, 1057656532.241131
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 365367.211393, 1281252518.052205
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 398775.357873, 1526272986.778204
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 432183.504354, 1792717938.419483
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 465591.650834, 2080587372.975552
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 498999.797315, 2389881290.446806
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 532407.943795, 2720599690.833064
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 565816.090276, 3072742574.134460
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 599224.236757, 3446309940.350664
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 632632.383237, 3841301789.482045
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 666040.529718, 4257718121.528736
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 699448.676198, 4695558936.490186
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 732856.822679, 5154824234.367147
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 766264.969160, 5635514015.158402
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 799673.115640, 6137628278.865145
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 833081.262121, 6661167025.486974
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 866489.408601, 7206130255.023772
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 899897.555082, 7772517967.475630
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 933305.701563, 8360330162.842483
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 966713.848043, 8969566841.124331
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1000121.994524, 9600228002.321514
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1033530.141004, 10252313646.433840
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1066938.287485, 10925823773.460535
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1100346.433966, 11620758383.403229
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1133754.580446, 12337117476.259468
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1167162.726927, 13074901052.032000
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1200570.873407, 13834109110.719187
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1233979.019888, 14614741652.322020
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1267387.166369, 15416798676.838757
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1300795.312849, 16240280184.271963
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1334203.459330, 17085186174.618294
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1367611.605810, 17951516647.880367
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1401019.752291, 18839271604.058483
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 1434427.898772, 19748451043.151169
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, -3118.456982, 632073.584536
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 31499.754592, 11426228.995203
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 64869.434935, 41178171.309295
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 97910.128592, 94851145.851678
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 131474.754659, 165642366.010136
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 165250.290679, 261988993.850326
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 197750.679922, 364156142.182144
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 231824.812684, 519899074.012931
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 264523.272845, 657298127.910383
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 298383.264962, 837934968.729407
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 332046.545758, 1059452894.034951
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 364284.999048, 1252210963.597406
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 399184.588688, 1560792577.991250
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 432245.016093, 1777643300.570336
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 465252.296311, 2048092508.517806
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 499047.500471, 2388064178.012940
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 532299.532568, 2729041764.329066
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 565840.321750, 3050746081.183126
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 598646.235138, 3430654893.753727
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 633157.244509, 3899842974.546809
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 666985.362615, 4301956716.090085
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 699607.689783, 4701964141.172115
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 732227.945174, 5122345825.472265
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 766415.281206, 5598804580.571248
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 798802.693732, 6032295584.879890
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 833312.843181, 6681247475.180894
0.100000, 0.100000, 5000000.000000, 24781.317647, 0.000000, 866794.501600, 7221890454.723402
