alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.000000, 230000.000000, 25364.705882, 0.000000, 67184.209704, 0.000000
0.000000, 0.000000, 235000.000000, 25364.705882, 0.000000, 262754.683157, 0.000000
0.000000, 0.000000, 240000.000000, 25364.705882, 0.000000, 458325.156611, 0.000000
0.000000, 0.000000, 245000.000000, 25364.705882, 0.000000, 653895.630064, 0.000000
0.000000, 0.000000, 250000.000000, 25364.705882, 0.000000, 849466.103518, 0.000000
0.000000, 0.000000, 255000.000000, 25364.705882, 0.000000, 1045036.576971, 0.000000
0.000000, 0.000000, 260000.000000, 25364.705882, 0.000000, 1240607.050425, 0.000000
0.000000, 0.000000, 265000.000000, 25364.705882, 0.000000, 1436177.523878, 0.000000
0.000000, 0.000000, 270000.000000, 25364.705882, 0.000000, 1631747.997332, 0.000000
0.000000, 0.000000, 275000.000000, 25364.705882, 0.000000, 1827318.470785, 0.000000
0.000000, 0.000000, 280000.000000, 25364.705882, 0.000000, 2022888.944238, 0.000000
0.000000, 0.000000, 285000.000000, 25364.705882, 0.000000, 2218459.417692, 0.000000
0.000000, 0.000000, 290000.000000, 25364.705882, 0.000000, 2414029.891145, 0.000000
0.000000, 0.000000, 295000.000000, 25364.705882, 0.000000, 2609600.364599, 0.000000
0.000000, 0.000000, 300000.000000, 25364.705882, 0.000000, 2805170.838052, 0.000000
0.000000, 0.000000, 305000.000000, 25364.705882, 0.000000, 3000741.311506, 0.000000
0.000000, 0.000000, 310000.000000, 25364.705882, 0.000000, 3196311.784959, 0.000000
0.000000, 0.000000, 315000.000000, 25364.705882, 0.000000, 3391882.258413, 0.000000
0.000000, 0.000000, 320000.000000, 25364.705882, 0.000000, 3587452.731866, 0.000000
0.000000, 0.000000, 325000.000000, 25364.705882, 0.000000, 3783023.205319, 0.000000
0.000000, 0.010000, 230000.000000, 25364.705882, 0.000000, 67869.789543, 530141.699350
0.000000, 0.010000, 235000.000000, 25364.705882, 0.000000, 262486.457574, 339303.151600
0.000000, 0.010000, 240000.000000, 25364.705882, 0.000000, 458219.888606, 585839.838517
0.000000, 0.010000, 245000.000000, 25364.705882, 0.000000, 653742.292892, 1030392.118168
0.000000, 0.010000, 250000.000000, 25364.705882, 0.000000, 849427.031720, 176665.330318
0.000000, 0.010000, 255000.000000, 25364.705882, 0.000000, 1045234.436738, 497011.704424
0.000000, 0.010000, 260000.000000, 25364.705882, 0.000000, 1240595.717978, 1126746.735394
0.000000, 0.010000, 265000.000000, 25364.705882, 0.000000, 1435814.556776, 511247.541773
0.000000, 0.010000, 270000.000000, 25364.705882, 0.000000, 1631989.957771, 425912.996984
0.000000, 0.010000, 275000.000000, 25364.705882, 0.000000, 1827247.372143, 518421.332817
0.000000, 0.010000, 280000.000000, 25364.705882, 0.000000, 2023329.083395, 857121.478398
0.000000, 0.010000, 285000.000000, 25364.705882, 0.000000, 2218883.423698, 528313.934774
0.000000, 0.010000, 290000.000000, 25364.705882, 0.000000, 2413869.770461, 691608.961236
0.000000, 0.010000, 295000.000000, 25364.705882, 0.000000, 2609439.265694, 341294.668903
0.000000, 0.010000, 300000.000000, 25364.705882, 0.000000, 2804724.608939, 531699.314255
0.000000, 0.010000, 305000.000000, 25364.705882, 0.000000, 3001199.213186, 621196.503190
0.000000, 0.010000, 310000.000000, 25364.705882, 0.000000, 3196349.549351, 1007231.275740
0.000000, 0.010000, 315000.000000, 25364.705882, 0.000000, 3391769.486703, 584164.257010
0.000000, 0.010000, 320000.000000, 25364.705882, 0.000000, 3587025.139136, 869276.962213
0.000000, 0.010000, 325000.000000, 25364.705882, 0.000000, 3782704.621666, 737104.300541
0.000000, 0.020000, 230000.000000, 25364.705882, 0.000000, 67611.071119, 3130826.301986
0.000000, 0.020000, 235000.000000, 25364.705882, 0.000000, 263617.821067, 1022685.738176
0.000000, 0.020000, 240000.000000, 25364.705882, 0.000000, 458179.441940, 1570089.205060
