alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.000000, 230000.000000, 25364.705882, 0.000000, 1805270.120139, 0.000000
0.000000, 0.000000, 235000.000000, 25364.705882, 0.000000, 7060337.250679, 0.000000
0.000000, 0.000000, 240000.000000, 25364.705882, 0.000000, 12315404.381220, 0.000000
0.000000, 0.000000, 245000.000000, 25364.705882, 0.000000, 17570471.511760, 0.000000
0.000000, 0.000000, 250000.000000, 25364.705882, 0.000000, 22825538.642301, 0.000000
0.000000, 0.000000, 255000.000000, 25364.705882, 0.000000, 28080605.772841, 0.000000
0.000000, 0.000000, 260000.000000, 25364.705882, 0.000000, 33335672.903382, 0.000000
0.000000, 0.000000, 265000.000000, 25364.705882, 0.000000, 38590740.033922, 0.000000
0.000000, 0.000000, 270000.000000, 25364.705882, 0.000000, 43845807.164463, 0.000000
0.000000, 0.000000, 275000.000000, 25364.705882, 0.000000, 49100874.295003, 0.000000
0.000000, 0.000000, 280000.000000, 25364.705882, 0.000000, 54355941.425543, 0.000000
0.000000, 0.000000, 285000.000000, 25364.705882, 0.000000, 59611008.556084, 0.000000
0.000000, 0.000000, 290000.000000, 25364.705882, 0.000000, 64866075.686624, 0.000000
0.000000, 0.000000, 295000.000000, 25364.705882, 0.000000, 70121142.817165, 0.000000
0.000000, 0.000000, 300000.000000, 25364.705882, 0.000000, 75376209.947706, 0.000000
0.000000, 0.000000, 305000.000000, 25364.705882, 0.000000, 80631277.078246, 0.000000
0.000000, 0.000000, 310000.000000, 25364.705882, 0.000000, 85886344.208787, 0.000000
0.000000, 0.000000, 315000.000000, 25364.705882, 0.000000, 91141411.339328, 0.000000
0.000000, 0.000000, 320000.000000, 25364.705882, 0.000000, 96396478.469867, 0.000000
0.000000, 0.000000, 325000.000000, 25364.705882, 0.000000, 101651545.600409, 0.000000
0.000000, 0.010000, 230000.000000, 25364.705882, 0.000000, 1805464.506469, 654532.962168
0.000000, 0.010000, 235000.000000, 25364.705882, 0.000000, 7060421.373802, 630060.085741
0.000000, 0.010000, 240000.000000, 25364.705882, 0.000000, 12315579.828539, 605524.074508
0.000000, 0.010000, 245000.000000, 25364.705882, 0.000000, 17570417.999608, 604544.108791
0.000000, 0.010000, 250000.000000, 25364.705882, 0.000000, 22825645.305826, 804876.196463
0.000000, 0.010000, 255000.000000, 25364.705882, 0.000000, 28080640.081053, 801917.579822
0.000000, 0.010000, 260000.000000, 25364.705882, 0.000000, 33335458.021118, 750788.151490
0.000000, 0.010000, 265000.000000, 25364.705882, 0.000000, 38590659.046029, 572608.198000
0.000000, 0.010000, 270000.000000, 25364.705882, 0.000000, 43845828.975352, 686722.589134
0.000000, 0.010000, 275000.000000, 25364.705882, 0.000000, 49100921.074127, 648984.486621
0.000000, 0.010000, 280000.000000, 25364.705882, 0.000000, 54355930.295746, 900850.973582
0.000000, 0.010000, 285000.000000, 25364.705882, 0.000000, 59610939.542668, 569993.493302
