alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.000000, 230000.000000, 25364.705882, 0.000000, 67184.209704, 0.000000
0.000000, 0.000000, 235000.000000, 25364.705882, 0.000000, 262754.683157, 0.000000
0.000000, 0.000000, 240000.000000, 25364.705882, 0.000000, 458325.156611, 0.000000
0.000000, 0.000000, 245000.000000, 25364.705882, 0.000000, 653895.630064, 0.000000
0.000000, 0.000000, 250000.000000, 25364.705882, 0.000000, 849466.103518, 0.000000
0.000000, 0.000000, 255000.000000, 25364.705882, 0.000000, 1045036.576971, 0.000000
0.000000, 0.000000, 260000.000000, 25364.705882, 0.000000, 1240607.050425, 0.000000
0.000000, 0.000000, 265000.000000, 25364.705882, 0.000000, 1436177.523878, 0.000000
0.000000, 0.000000, 270000.000000, 25364.705882, 0.000000, 1631747.997332, 0.000000
0.000000, 0.000000, 275000.000000, 25364.705882, 0.000000, 1827318.470785, 0.000000
0.000000, 0.000000, 280000.000000, 25364.705882, 0.000000, 2022888.944238, 0.000000
0.000000, 0.000000, 285000.000000, 25364.705882, 0.000000, 2218459.417692, 0.000000
0.000000, 0.000000, 290000.000000, 25364.705882, 0.000000, 2414029.891145, 0.000000
0.000000, 0.000000, 295000.000000, 25364.705882, 0.000000, 2609600.364599, 0.000000
0.000000, 0.000000, 300000.000000, 25364.705882, 0.000000, 2805170.838052, 0.000000
0.000000, 0.000000, 305000.000000, 25364.705882, 0.000000, 3000741.311506, 0.000000
0.000000, 0.000000, 310000.000000, 25364.705882, 0.000000, 3196311.784959, 0.000000
0.000000, 0.000000, 315000.000000, 25364.705882, 0.000000, 3391882.258413, 0.000000
0.000000, 0.000000, 320000.000000, 25364.705882, 0.000000, 3587452.731866, 0.000000
0.000000, 0.000000, 325000.000000, 25364.705882, 0.000000, 3783023.205319, 0.000000
0.000000, 0.010000, 230000.000000, 25364.705882, 0.000000, 67225.895458, 709490.624531
0.000000, 0.010000, 235000.000000, 25364.705882, 0.000000, 262748.447618, 663313.570819
0.000000, 0.010000, 240000.000000, 25364.705882, 0.000000, 458351.764911, 635358.037523
0.000000, 0.010000, 245000.000000, 25364.705882, 0.000000, 653921.895675, 728329.300636
0.000000, 0.010000, 250000.000000, 25364.705882, 0.000000, 849512.361725, 608879.654693
0.000000, 0.010000, 255000.000000, 25364.705882, 0.000000, 1045026.903152, 665609.814216
0.000000, 0.010000, 260000.000000, 25364.705882, 0.000000, 1240609.546896, 643498.832334
0.000000, 0.010000, 265000.000000, 25364.705882, 0.000000, 1436109.086569, 665723.455737
0.000000, 0.010000, 270000.000000, 25364.705882, 0.000000, 1631801.527627, 684058.650812
0.000000, 0.010000, 275000.000000, 25364.705882, 0.000000, 1827385.735309, 681454.510801
0.000000, 0.010000, 280000.000000, 25364.705882, 0.000000, 2022902.806640, 642538.308384
0.000000, 0.010000, 285000.000000, 25364.705882, 0.000000, 2218465.506627, 691957.742636
0.000000, 0.010000, 290000.000000, 25364.705882, 0.000000, 2414020.297811, 661139.107183
0.000000, 0.010000, 295000.000000, 25364.705882, 0.000000, 2609582.730529, 665497.530044
0.000000, 0.010000, 300000.000000, 25364.705882, 0.000000, 2805221.859821, 676812.189784
0.000000, 0.010000, 305000.000000, 25364.705882, 0.000000, 3000736.025512, 682861.799085
0.000000, 0.010000, 310000.000000, 25364.705882, 0.000000, 3196328.004706, 667203.047736
0.000000, 0.010000, 315000.000000, 25364.705882, 0.000000, 3391847.661167, 608014.754400
0.000000, 0.010000, 320000.000000, 25364.705882, 0.000000, 3587466.349522, 684511.890151
0.000000, 0.010000, 325000.000000, 25364.705882, 0.000000, 3783036.374149, 735042.176984
0.000000, 0.020000, 230000.000000, 25364.705882, 0.000000, 67193.760410, 2703513.150936
0.000000, 0.020000, 235000.000000, 25364.705882, 0.000000, 262692.802616, 2642775.938025
0.000000, 0.020000, 240000.000000, 25364.705882, 0.000000, 458460.095869, 2513858.390704
