alpha, gamma, P, Xmean, Xvar, Mmean, Mvar
0.000000, 0.000000, 230000.000000, 25364.705882, 0.000000, 15434057.269455, 0.000000
0.000000, 0.000000, 235000.000000, 25364.705882, 0.000000, 60361963.704513, 0.000000
0.000000, 0.000000, 240000.000000, 25364.705882, 0.000000, 105289870.139572, 0.000000
0.000000, 0.000000, 245000.000000, 25364.705882, 0.000000, 150217776.574631, 0.000000
0.000000, 0.000000, 250000.000000, 25364.705882, 0.000000, 195145683.009689, 0.000000
0.000000, 0.000000, 255000.000000, 25364.705882, 0.000000, 240073589.444747, 0.000000
0.000000, 0.000000, 260000.000000, 25364.705882, 0.000000, 285001495.879807, 0.000000
0.000000, 0.000000, 265000.000000, 25364.705882, 0.000000, 329929402.314864, 0.000000
0.000000, 0.000000, 270000.000000, 25364.705882, 0.000000, 374857308.749920, 0.000000
0.000000, 0.000000, 275000.000000, 25364.705882, 0.000000, 419785215.184980, 0.000000
0.000000, 0.000000, 280000.000000, 25364.705882, 0.000000, 464713121.620031, 0.000000
0.000000, 0.000000, 285000.000000, 25364.705882, 0.000000, 509641028.055097, 0.000000
0.000000, 0.000000, 290000.000000, 25364.705882, 0.000000, 554568934.490158, 0.000000
0.000000, 0.000000, 295000.000000, 25364.705882, 0.000000, 599496840.925210, 0.000000
0.000000, 0.000000, 300000.000000, 25364.705882, 0.000000, 644424747.360274, 0.000000
0.000000, 0.000000, 305000.000000, 25364.705882, 0.000000, 689352653.795332, 0.000000
0.000000, 0.000000, 310000.000000, 25364.705882, 0.000000, 734280560.230391, 0.000000
0.000000, 0.000000, 315000.000000, 25364.705882, 0.000000, 779208466.665449, 0.000000
0.000000, 0.000000, 320000.000000, 25364.705882, 0.000000, 824136373.100495, 0.000000
0.000000, 0.000000, 325000.000000, 25364.705882, 0.000000, 869064279.535567, 0.000000
0.000000, 0.010000, 230000.000000, 25364.705882, 0.000000, 15433845.749106, 8012184.020282
0.000000, 0.010000, 235000.000000, 25364.705882, 0.000000, 60361596.531076, 7768056.378578
0.000000, 0.010000, 240000.000000, 25364.705882, 0.000000, 105289977.743181, 8315081.976649
0.000000, 0.010000, 245000.000000, 25364.705882, 0.000000, 150217689.511674, 8216751.686012
0.000000, 0.010000, 250000.000000, 25364.705882, 0.000000, 195145617.256676, 8769456.007445
0.000000, 0.010000, 255000.000000, 25364.705882, 0.000000, 240073661.168729, 7921244.917774
0.000000, 0.010000, 260000.000000, 25364.705882, 0.000000, 285001104.633921, 7177889.182285
0.000000, 0.010000, 265000.000000, 25364.705882, 0.000000, 329929744.705445, 9198886.600147
0.000000, 0.010000, 270000.000000, 25364.705882, 0.000000, 374857213.006049, 8798561.447938
0.000000, 0.010000, 275000.000000, 25364.705882, 0.000000, 419784806.827858, 7271562.921600
0.000000, 0.010000, 280000.000000, 25364.705882, 0.000000, 464713552.561635, 7681394.985536
0.000000, 0.010000, 285000.000000, 25364.705882, 0.000000, 509641373.701783, 8430709.355948
0.000000, 0.010000, 290000.000000, 25364.705882, 0.000000, 554569087.290155, 9483716.742750
0.000000, 0.010000, 295000.000000, 25364.705882, 0.000000, 599496687.043211, 9234039.084921
0.000000, 0.010000, 300000.000000, 25364.705882, 0.000000, 644424967.536129, 8602467.835203
0.000000, 0.010000, 305000.000000, 25364.705882, 0.000000, 689352721.335857, 11116663.267624
0.000000, 0.010000, 310000.000000, 25364.705882, 0.000000, 734280615.099451, 8685413.367825
0.000000, 0.010000, 315000.000000, 25364.705882, 0.000000, 779207817.029008, 6667928.270935
0.000000, 0.010000, 320000.000000, 25364.705882, 0.000000, 824136289.783336, 8303616.216465
0.000000, 0.010000, 325000.000000, 25364.705882, 0.000000, 869064243.400832, 9924681.530678
0.000000, 0.020000, 230000.000000, 25364.705882, 0.000000, 15434219.012037, 37981254.233743
0.000000, 0.020000, 235000.000000, 25364.705882, 0.000000, 60361422.699665, 28408740.568837
0.000000, 0.020000, 240000.000000, 25364.705882, 0.000000, 105289404.270939, 40933593.222445
0.000000, 0.020000, 245000.000000, 25364.705882, 0.000000, 150217458.434950, 26415822.189841
0.000000, 0.020000, 250000.000000, 25364.705882, 0.000000, 195145360.173052, 32410378.933631
0.000000, 0.020000, 255000.000000, 25364.705882, 0.000000, 240074121.576073, 35507946.515987
0.000000, 0.020000, 260000.000000, 25364.705882, 0.000000, 285001154.448094, 28976655.996507
0.000000, 0.020000, 265000.000000, 25364.705882, 0.000000, 329929098.888677, 46993890.899390
0.000000, 0.020000, 270000.000000, 25364.705882, 0.000000, 374858637.749895, 31690803.014492
0.000000, 0.020000, 275000.000000, 25364.705882, 0.000000, 419784635.973419, 34610783.672843
0.000000, 0.020000, 280000.000000, 25364.705882, 0.000000, 464713722.591981, 27386123.146716
0.000000, 0.020000, 285000.000000, 25364.705882, 0.000000, 509641240.058095, 33842480.094429
0.000000, 0.020000, 290000.000000, 25364.705882, 0.000000, 554569680.054851, 41527051.437380
0.000000, 0.020000, 295000.000000, 25364.705882, 0.000000, 599498148.445378, 37221900.040902
0.000000, 0.020000, 300000.000000, 25364.705882, 0.000000, 644425269.653536, 30814943.994446
0.000000, 0.020000, 305000.000000, 25364.705882, 0.000000, 689352701.125513, 34096160.128177
0.000000, 0.020000, 310000.000000, 25364.705882, 0.000000, 734279800.479723, 28677632.707401
0.000000, 0.020000, 315000.000000, 25364.705882, 0.000000, 779208194.873475, 33469375.822664
0.000000, 0.020000, 320000.000000, 25364.705882, 0.000000, 824136462.713795, 31089600.627627
0.000000, 0.020000, 325000.000000, 25364.705882, 0.000000, 869062497.936245, 33254373.483486
0.000000, 0.030000, 230000.000000, 25364.705882, 0.000000, 15433299.062576, 96392094.946237
0.000000, 0.030000, 235000.000000, 25364.705882, 0.000000, 60360769.581355, 72869243.083517
0.000000, 0.030000, 240000.000000, 25364.705882, 0.000000, 105289111.006112, 84979567.683140
0.000000, 0.030000, 245000.000000, 25364.705882, 0.000000, 150217675.292112, 93141843.410487
0.000000, 0.030000, 250000.000000, 25364.705882, 0.000000, 195143572.872426, 64983618.987134
0.000000, 0.030000, 255000.000000, 25364.705882, 0.000000, 240074457.210836, 56973552.724369
0.000000, 0.030000, 260000.000000, 25364.705882, 0.000000, 285002536.787912, 75072567.078895
0.000000, 0.030000, 265000.000000, 25364.705882, 0.000000, 329928642.504260, 75147169.319437
0.000000, 0.030000, 270000.000000, 25364.705882, 0.000000, 374856470.226507, 58590445.302690
0.000000, 0.030000, 275000.000000, 25364.705882, 0.000000, 419783597.624661, 92912754.267664
0.000000, 0.030000, 280000.000000, 25364.705882, 0.000000, 464712286.674099, 80177249.502082
0.000000, 0.030000, 285000.000000, 25364.705882, 0.000000, 509642880.413178, 88584894.078206
0.000000, 0.030000, 290000.000000, 25364.705882, 0.000000, 554569041.520280, 76200471.842345
0.000000, 0.030000, 295000.000000, 25364.705882, 0.000000, 599496422.499677, 66383712.221660
0.000000, 0.030000, 300000.000000, 25364.705882, 0.000000, 644425792.900438, 89395754.147121
0.000000, 0.030000, 305000.000000, 25364.705882, 0.000000, 689354366.792114, 70043597.233824
0.000000, 0.030000, 310000.000000, 25364.705882, 0.000000, 734280218.597857, 76490930.201621
0.000000, 0.030000, 315000.000000, 25364.705882, 0.000000, 779209605.101977, 69673458.600713
0.000000, 0.030000, 320000.000000, 25364.705882, 0.000000, 824136681.025155, 72987539.268758
0.000000, 0.030000, 325000.000000, 25364.705882, 0.000000, 869064337.344604, 81091207.904163
0.000000, 0.040000, 230000.000000, 25364.705882, 0.000000, 15435452.774431, 108194274.447972
0.000000, 0.040000, 235000.000000, 25364.705882, 0.000000, 60363226.374129, 140770868.666866
0.000000, 0.040000, 240000.000000, 25364.705882, 0.000000, 105290000.377239, 101592016.152427
0.000000, 0.040000, 245000.000000, 25364.705882, 0.000000, 150216459.151420, 130927747.403904
0.000000, 0.040000, 250000.000000, 25364.705882, 0.000000, 195144766.981532, 146840279.909555
0.000000, 0.040000, 255000.000000, 25364.705882, 0.000000, 240073967.544017, 130660383.200173
0.000000, 0.040000, 260000.000000, 25364.705882, 0.000000, 285002251.465923, 127536060.735280
0.000000, 0.040000, 265000.000000, 25364.705882, 0.000000, 329927364.939045, 160618278.426892
0.000000, 0.040000, 270000.000000, 25364.705882, 0.000000, 374857928.011503, 126105230.378124
0.000000, 0.040000, 275000.000000, 25364.705882, 0.000000, 419786894.902636, 141316241.877912
0.000000, 0.040000, 280000.000000, 25364.705882, 0.000000, 464713297.572967, 144925568.665346
0.000000, 0.040000, 285000.000000, 25364.705882, 0.000000, 509642283.819123, 129477499.339669
0.000000, 0.040000, 290000.000000, 25364.705882, 0.000000, 554569526.538904, 135770969.988930
0.000000, 0.040000, 295000.000000, 25364.705882, 0.000000, 599495372.039166, 148893435.406381
0.000000, 0.040000, 300000.000000, 25364.705882, 0.000000, 644422904.276710, 114257387.754709
0.000000, 0.040000, 305000.000000, 25364.705882, 0.000000, 689353995.319269, 154698386.091919
0.000000, 0.040000, 310000.000000, 25364.705882, 0.000000, 734281486.965667, 124511917.578965
0.000000, 0.040000, 315000.000000, 25364.705882, 0.000000, 779207374.390157, 125633475.002247
0.000000, 0.040000, 320000.000000, 25364.705882, 0.000000, 824137095.609142, 110559100.707495
0.000000, 0.040000, 325000.000000, 25364.705882, 0.000000, 869063562.175535, 137086870.337250
0.000000, 0.050000, 230000.000000, 25364.705882, 0.000000, 15433534.144360, 187122769.747007
0.000000, 0.050000, 235000.000000, 25364.705882, 0.000000, 60363248.803416, 217588323.214418
0.000000, 0.050000, 240000.000000, 25364.705882, 0.000000, 105289911.335593, 233540108.292296
0.000000, 0.050000, 245000.000000, 25364.705882, 0.000000, 150219541.908460, 244539364.079430
0.000000, 0.050000, 250000.000000, 25364.705882, 0.000000, 195144393.488356, 227222474.831647
0.000000, 0.050000, 255000.000000, 25364.705882, 0.000000, 240075276.120003, 199745613.470590
0.000000, 0.050000, 260000.000000, 25364.705882, 0.000000, 285003228.805251, 218522148.943767
0.000000, 0.050000, 265000.000000, 25364.705882, 0.000000, 329925272.953037, 253971041.954228
0.000000, 0.050000, 270000.000000, 25364.705882, 0.000000, 374857048.744297, 217418250.245753
0.000000, 0.050000, 275000.000000, 25364.705882, 0.000000, 419786513.930269, 161678165.996634
0.000000, 0.050000, 280000.000000, 25364.705882, 0.000000, 464713529.293671, 220741299.851002
0.000000, 0.050000, 285000.000000, 25364.705882, 0.000000, 509640132.395693, 225355897.640143
0.000000, 0.050000, 290000.000000, 25364.705882, 0.000000, 554570297.206411, 200587237.340259
0.000000, 0.050000, 295000.000000, 25364.705882, 0.000000, 599496840.647223, 216275690.793808
0.000000, 0.050000, 300000.000000, 25364.705882, 0.000000, 644424305.614223, 242906520.769559
0.000000, 0.050000, 305000.000000, 25364.705882, 0.000000, 689354808.067032, 235831139.990529
0.000000, 0.050000, 310000.000000, 25364.705882, 0.000000, 734278300.258066, 238699508.241414
0.000000, 0.050000, 315000.000000, 25364.705882, 0.000000, 779208838.406492, 219940910.118838
0.000000, 0.050000, 320000.000000, 25364.705882, 0.000000, 824133965.763524, 235462605.961938
0.000000, 0.050000, 325000.000000, 25364.705882, 0.000000, 869063631.178404, 228818151.981223
0.000000, 0.060000, 230000.000000, 25364.705882, 0.000000, 15433644.140180, 269393887.345942
0.000000, 0.060000, 235000.000000, 25364.705882, 0.000000, 60361666.120151, 225388097.274594
0.000000, 0.060000, 240000.000000, 25364.705882, 0.000000, 105292064.101168, 346179855.902528
0.000000, 0.060000, 245000.000000, 25364.705882, 0.000000, 150218833.362667, 285521581.420512
0.000000, 0.060000, 250000.000000, 25364.705882, 0.000000, 195144548.444266, 328996480.668249
0.000000, 0.060000, 255000.000000, 25364.705882, 0.000000, 240078897.943037, 331480960.771415
0.000000, 0.060000, 260000.000000, 25364.705882, 0.000000, 284998836.405697, 305071847.312757
0.000000, 0.060000, 265000.000000, 25364.705882, 0.000000, 329926763.500720, 421742085.782625
0.000000, 0.060000, 270000.000000, 25364.705882, 0.000000, 374855069.083373, 323661785.615451
0.000000, 0.060000, 275000.000000, 25364.705882, 0.000000, 419783212.493573, 264173097.873436
0.000000, 0.060000, 280000.000000, 25364.705882, 0.000000, 464714024.285169, 251445745.256025
0.000000, 0.060000, 285000.000000, 25364.705882, 0.000000, 509641527.524776, 316700100.164193
